horizon,true_pos,false_pos,false_neg,true_neg,true_pos_ave_obs,true_pos_ave_q05,true_pos_ave_q50,true_pos_ave_q95,false_pos_ave_obs,false_pos_ave_q05,false_pos_ave_q50,false_pos_ave_q95,false_neg_ave_obs,false_neg_ave_q05,false_neg_ave_q50,false_neg_ave_q95,true_neg_ave_obs,true_neg_ave_q05,true_neg_ave_q50,true_neg_ave_q95
7.000000000000000000e+00,9.572100000000000000e+04,2.516200000000000000e+04,3.029100000000000000e+04,4.343610000000000000e+05,8.318652908238984622e+00,3.435272500921205729e+00,9.324139993198203413e+00,4.033755511195131760e+01,3.523763956913496287e+01,5.963182723912953342e+00,1.427492014899188710e+01,5.041721733716805431e+01,1.353329456005044484e+01,1.203455665795726404e+01,3.120216580011069851e+01,6.688808942627215970e+01,6.146075263924103638e+01,3.944626320107001760e+01,6.131841229385682368e+01,8.099871592651251717e+01
1.400000000000000000e+01,6.732900000000000000e+04,2.499300000000000000e+04,5.869200000000000000e+04,4.313010000000000000e+05,7.915859301406919180e+00,3.383681366897743459e+00,1.088235312247837250e+01,5.110769753936116189e+01,3.959503206107213913e+01,5.258705044626220904e+00,1.414125567202231082e+01,5.916090619658569949e+01,1.147283563418718089e+01,1.089547048947149399e+01,3.637479321224927986e+01,7.518364695954024057e+01,6.109550477444904004e+01,3.234017805157722592e+01,6.227162864912361329e+01,8.456032157564256124e+01
2.100000000000000000e+01,5.928000000000000000e+04,2.682300000000000000e+04,6.652800000000000000e+04,4.264640000000000000e+05,7.937377665830598339e+00,3.242857568579018412e+00,1.082043173328761654e+01,5.453704767552510191e+01,4.162319487647898342e+01,5.061652742130263505e+00,1.389657623910764705e+01,6.169949894389402800e+01,1.107548469428406435e+01,1.102488889733633570e+01,3.933504521514005603e+01,7.765349118160838771e+01,6.101499801852332894e+01,2.938125686403775916e+01,6.120456181615837465e+01,8.496995848185699174e+01
2.800000000000000000e+01,5.123100000000000000e+04,2.865300000000000000e+04,7.436400000000000000e+04,4.216270000000000000e+05,7.958896030254277498e+00,3.102033770260293366e+00,1.075851034409685880e+01,5.796639781168904904e+01,4.365135769188582771e+01,4.864600439634306994e+00,1.365189680619298329e+01,6.423809169120235651e+01,1.067813375438094781e+01,1.115430730520117564e+01,4.229529721803083220e+01,8.012333540367654905e+01,6.093449126259761783e+01,2.642233567649829240e+01,6.013749498319312892e+01,8.537959538807140802e+01
3.500000000000000000e+01,4.984475000000000000e+04,3.189375000000000000e+04,7.531425000000000000e+04,4.156032500000000000e+05,8.063209882726672717e+00,3.429528049999723383e+00,1.071548163369436857e+01,5.899704268515686323e+01,4.429166742590260242e+01,5.152242859291012778e+00,1.352886949979036935e+01,6.521177314904937816e+01,1.056879317511916305e+01,1.170688606769976658e+01,4.256686177035822993e+01,8.033225839251221601e+01,6.094909224604003128e+01,2.586382581145502613e+01,5.948687176809711730e+01,8.527204144102441319e+01
4.200000000000000000e+01,4.845850000000000000e+04,3.513450000000000000e+04,7.626450000000000000e+04,4.095795000000000000e+05,8.167523735199068824e+00,3.757022329739153843e+00,1.067245292329187834e+01,6.002768755862467742e+01,4.493197715991937713e+01,5.439885278947717673e+00,1.340584219338775540e+01,6.618545460689639981e+01,1.045945259585737830e+01,1.225946483019835753e+01,4.283842632268563477e+01,8.054118138134788296e+01,6.096369322948244474e+01,2.530531594641175985e+01,5.883624855300111278e+01,8.516448749397741835e+01
4.900000000000000000e+01,4.707225000000000000e+04,3.837525000000000000e+04,7.721475000000000000e+04,4.035557500000000000e+05,8.271837587671464931e+00,4.084516609478583860e+00,1.062942421288938810e+01,6.105833243209248451e+01,4.557228689393615184e+01,5.727527698604423456e+00,1.328281488698514146e+01,6.715913606474343567e+01,1.035011201659559177e+01,1.281204359269694848e+01,4.310999087501303961e+01,8.075010437018354992e+01,6.097829421292485819e+01,2.474680608136849713e+01,5.818562533790510116e+01,8.505693354693043773e+01
5.600000000000000000e+01,4.568600000000000000e+04,4.161600000000000000e+04,7.816500000000000000e+04,3.975320000000000000e+05,8.376151440143861038e+00,4.412010889218014320e+00,1.058639550248689787e+01,6.208897730556029870e+01,4.621259662795292655e+01,6.015170118261128351e+00,1.315978758058252751e+01,6.813281752259045732e+01,1.024077143733380701e+01,1.336462235519553943e+01,4.338155542734043735e+01,8.095902735901921687e+01,6.099289519636727164e+01,2.418829621632523086e+01,5.753500212280908954e+01,8.494937959988344289e+01
6.300000000000000000e+01,4.230159999999999854e+04,3.934440000000000146e+04,8.119339999999999418e+04,3.969415999999999767e+05,8.455993369154342076e+00,4.315164457071617221e+00,1.065881105356985081e+01,6.231145662148934861e+01,4.633250576763432349e+01,6.039636029017557917e+00,1.323397715213588199e+01,6.819176043798832154e+01,1.013456737916712669e+01,1.357381302733120521e+01,4.418478604381203212e+01,8.126173545620116556e+01,6.085301864968820240e+01,2.365224067833669963e+01,5.714861497379433786e+01,8.505659288303318988e+01
7.000000000000000000e+01,3.891719999999999709e+04,3.707280000000000291e+04,8.422180000000000291e+04,3.963512000000000116e+05,8.535835298164823115e+00,4.218318024925219234e+00,1.073122660465280376e+01,6.253393593741839851e+01,4.645241490731572753e+01,6.064101939773988370e+00,1.330816672368923470e+01,6.825070335338619998e+01,1.002836332100044636e+01,1.378300369946687098e+01,4.498801666028362689e+01,8.156444355338312846e+01,6.071314210300913317e+01,2.311618514034816840e+01,5.676222782477958617e+01,8.516380616618293686e+01
7.700000000000000000e+01,3.553280000000000291e+04,3.480119999999999709e+04,8.725019999999999709e+04,3.957607999999999884e+05,8.615677227175305930e+00,4.121471592778822135e+00,1.080364215573575493e+01,6.275641525334745552e+01,4.657232404699712447e+01,6.088567850530417935e+00,1.338235629524258918e+01,6.830964626878406420e+01,9.922159262833766036e+00,1.399219437160253854e+01,4.579124727675521456e+01,8.186715165056507715e+01,6.057326555633005682e+01,2.258012960235963362e+01,5.637584067576482738e+01,8.527101944933268385e+01
8.400000000000000000e+01,3.214840000000000146e+04,3.252959999999999854e+04,9.027860000000000582e+04,3.951704000000000233e+05,8.695519156185786969e+00,4.024625160632424148e+00,1.087605770681870787e+01,6.297889456927650542e+01,4.669223318667852851e+01,6.113033761286848389e+00,1.345654586679594189e+01,6.836858918418194264e+01,9.815955204667085710e+00,1.420138504373820432e+01,4.659447789322680933e+01,8.216985974774704005e+01,6.043338900965098759e+01,2.204407406437110239e+01,5.598945352675007570e+01,8.537823273248243083e+01
9.100000000000000000e+01,2.876400000000000000e+04,3.025800000000000000e+04,9.330700000000000000e+04,3.945800000000000000e+05,8.775361085196268007e+00,3.927778728486027049e+00,1.094847325790166082e+01,6.320137388520555533e+01,4.681214232635992545e+01,6.137499672043277954e+00,1.353073543834929637e+01,6.842753209957980687e+01,9.709751146500405383e+00,1.441057571587387010e+01,4.739770850969840410e+01,8.247256784492898873e+01,6.029351246297191835e+01,2.150801852638257117e+01,5.560306637773532401e+01,8.548544601563217782e+01
